2021-08-16 23:57:10 [main] ERROR webproject.model.service.impl.UserServiceImpl- Can not execute UserServiceImpl: calculateRatesOfSolve(String login) Can not proceed request:  SELECT count_of_solve , count(tasks.id) as `count` FROM users JOIN tasks ON tasks.user_id =users.id WHERE users.id =(SELECT id FROM users WHERE login = ?);
2021-08-16 23:57:52 [main] INFO  epam.webproject.model.connection.ConnectionCreator- jdbc:mysql://localhost:3306/first_project
2021-08-16 23:57:52 [main] INFO  epam.webproject.model.connection.ConnectionCreator- com.mysql.cj.jdbc.Driver
2021-08-16 23:59:30 [main] INFO  epam.webproject.model.connection.ConnectionCreator- jdbc:mysql://localhost:3306/first_project
2021-08-16 23:59:30 [main] INFO  epam.webproject.model.connection.ConnectionCreator- com.mysql.cj.jdbc.Driver
2021-08-24 17:42:11 [main] INFO  epam.webproject.model.connection.ConnectionCreator- jdbc:mysql://localhost:3306/first_project
2021-08-24 17:42:11 [main] INFO  epam.webproject.model.connection.ConnectionCreator- com.mysql.cj.jdbc.Driver
2021-08-24 17:43:50 [main] INFO  epam.webproject.model.connection.ConnectionCreator- jdbc:mysql://localhost:3306/first_project
2021-08-24 17:43:50 [main] INFO  epam.webproject.model.connection.ConnectionCreator- com.mysql.cj.jdbc.Driver
2021-08-24 17:44:55 [main] INFO  epam.webproject.model.connection.ConnectionCreator- jdbc:mysql://localhost:3306/first_project
2021-08-24 17:44:55 [main] INFO  epam.webproject.model.connection.ConnectionCreator- com.mysql.cj.jdbc.Driver
2021-08-24 17:45:40 [main] INFO  epam.webproject.model.connection.ConnectionCreator- jdbc:mysql://localhost:3306/first_project
2021-08-24 17:45:40 [main] INFO  epam.webproject.model.connection.ConnectionCreator- com.mysql.cj.jdbc.Driver
